original_question,attempt,score,best_score,score_delta,chunk_overlap,halt
How many days of Casual Leave can an employee avail in an academic year?,1,0.9,0.9,0.0,0.0,1
Who is eligible for Casual Leave at VIT?,1,0.84,0.84,0.0,0.0,1
Can unused Casual Leave be carried forward?,1,0.74,0.74,0.0,0.0,1
Can unused Casual Leave be carried forward?,2,0.68,0.74,-0.05999999999999994,0.0,1
What is the maximum number of Casual Leave days that can be taken at one time?,1,0.82,0.82,0.0,0.0,1
What is the procedure for applying for leave at VIT?,1,0.68,0.68,0.0,0.0,1
Who can sanction leave for an employee?,1,0.75,0.75,0.0,0.0,1
What is Medical Leave at VIT?,1,0.93,0.93,0.0,0.0,1
How many days of Medical Leave can be accumulated?,1,0.93,0.93,0.0,0.0,1
What certificate is required for Medical Leave?,1,0.79,0.79,0.0,0.0,1
What is the maternity leave entitlement?,1,0.91,0.91,0.0,0.0,1
What is the purpose of the Exit Interview System?,1,0.77,0.77,0.0,0.0,1
When is a service certificate issued?,1,0.78,0.78,0.0,0.0,1
What are the rules for VIT holidays?,1,0.93,0.93,0.0,0.0,1
Who is eligible for Earned Leave?,1,0.9,0.9,0.0,0.0,1
How is Earned Leave calculated for staff?,1,0.79,0.79,0.0,0.0,1
How is Earned Leave calculated for faculty?,1,0.79,0.79,0.0,0.0,1
What is Compensatory Off?,1,0.84,0.84,0.0,0.0,1
What is the purpose of the Exit Interview?,1,0.74,0.74,0.0,0.0,0
What is the purpose of the Exit Interview?,2,0.84,0.84,0.09999999999999998,0.5,1
What happens when an employee resigns?,1,0.76,0.76,0.0,0.0,1
What is the notice period for resignation?,1,0.91,0.91,0.0,0.0,1
What is Sabbatical Leave?,1,0.92,0.92,0.0,0.0,1
What is Long Leave on Loss of Pay?,1,0.89,0.89,0.0,0.0,1
What is Leave on Duty?,1,0.88,0.88,0.0,0.0,1
Can employees avail vacation?,1,0.69,0.69,0.0,0.0,0
Can employees avail vacation?,2,0.75,0.75,0.06000000000000005,0.5,1
What is vacation salary?,1,0.87,0.87,0.0,0.0,1
"What are the eligibility conditions, duration, and documentation requirements for Medical Leave?",1,0.62,0.62,0.0,0.0,0
"What are the eligibility conditions, duration, and documentation requirements for Medical Leave?",2,0.82,0.82,0.19999999999999996,0.5,1
What are the rules for extending Medical Leave for more than one month?,1,0.75,0.75,0.0,0.0,1
How does the Casual Leave policy differ from the Earned Leave policy?,1,0.74,0.74,0.0,0.0,1
How does the Casual Leave policy differ from the Earned Leave policy?,2,0.68,0.74,-0.05999999999999994,0.2,1
What are the eligibility conditions and duration for maternity leave?,1,0.74,0.74,0.0,0.0,1
What are the eligibility conditions and duration for maternity leave?,2,0.71,0.74,-0.030000000000000027,0.5,1
What are the rules governing vacation and vacation salary?,1,0.8,0.8,0.0,0.0,1
What is the procedure for applying for leave and obtaining approval?,1,0.63,0.63,0.0,0.0,1
What are the requirements for obtaining a service certificate?,1,0.65,0.65,0.0,0.0,0
What are the requirements for obtaining a service certificate?,2,0.77,0.77,0.12,0.5,1
