question_id,question,fixed_mean_attempts,learned_mean_attempts,fixed_best_score_mean,learned_best_score_mean,fixed_success_rate,learned_success_rate,fixed_mean_wall_seconds,learned_mean_wall_seconds,fixed_mean_cpu_seconds,learned_mean_cpu_seconds
1,"What are the eligibility conditions, duration, and documentation requirements for Medical Leave?",2,2,0.82,0.82,1,1,0.158155,0.128475,0.921875,0.770833
2,What are the rules for extending Medical Leave for more than one month?,2,2,0.82,0.82,1,1,0.131987,0.125085,0.765625,0.75
3,How does the Casual Leave policy differ from the Earned Leave policy?,2,2,0.74,0.74,0,0,0.125227,0.125736,0.75,0.75
4,What are the eligibility conditions and duration for maternity leave?,2,2,0.74,0.74,0,0,0.145943,0.12971,0.833333,0.765625
5,What are the rules governing vacation and vacation salary?,2,1,0.81,0.8,1,1,0.135435,0.069836,0.822917,0.427083
6,What is the procedure for applying for leave and obtaining approval?,1,1,0.63,0.63,0,0,0.062671,0.062119,0.375,0.375
7,What are the requirements for obtaining a service certificate?,2,2,0.73,0.73,0,0,0.122875,0.126369,0.71875,0.78125
8,What are the conditions associated with resignation and relieving an employee?,2,1,0.82,0.82,1,1,0.131173,0.068341,0.760417,0.427083
9,What are the rules for Compensatory Off for faculty and staff?,2,1,0.8,0.8,1,1,0.128959,0.061251,0.807292,0.348958
10,What conditions apply when an employee is unable to resume work after leave?,1,1,0.8,0.8,1,1,0.06293,0.059681,0.338542,0.375
11,What are the rules for Leave on Duty?,2,2,0.75,0.75,1,1,0.129036,0.123602,0.776042,0.75
12,What are the conditions for Sabbatical Leave?,2,1,0.92,0.92,1,1,0.128821,0.064861,0.729167,0.416667
13,What are the eligibility requirements for Earned Leave?,2,1,0.79,0.79,1,1,0.130415,0.062773,0.78125,0.369792
14,What happens when leave is taken without prior sanction?,1,1,0.66,0.66,0,0,0.06234,0.06066,0.385417,0.359375
15,What are the rules governing leave during the first year of service?,1,1,0.71,0.71,0,0,0.062773,0.065179,0.364583,0.375
16,What are the documentation requirements for Medical Leave taken outside the VIT Health Centre?,2,1,0.82,0.79,1,1,0.145424,0.067109,0.848958,0.416667
17,What are the rules for extending a Medical Leave?,2,2,0.82,0.82,1,1,0.130289,0.128287,0.8125,0.744792
18,What are the conditions for maternity leave and what documentation is required?,2,1,0.82,0.82,1,1,0.124056,0.064695,0.765625,0.364583
19,What are the rules for resignation and the Exit Interview System?,2,1,0.93,0.93,1,1,0.134754,0.063862,0.796875,0.375
20,How do leave approval and medical certification requirements interact?,1,1,0.61,0.61,0,0,0.064155,0.068242,0.40625,0.40625
21,"What are all the conditions, approvals, and documents required for Medical Leave beyond one month?",2,2,0.82,0.82,1,1,0.138643,0.134548,0.838542,0.78125
22,What are the rules for Medical Leave when treatment is taken outside the VIT Health Centre?,2,1,0.82,0.81,1,1,0.129398,0.067123,0.807292,0.375
23,What service requirement must an employee satisfy before becoming eligible for Medical Leave?,2,2,0.82,0.82,1,1,0.141453,0.131266,0.833333,0.802083
