question_id,question,method,api_status,gemini_api_calls,prompt_tokens,output_tokens,thoughts_tokens,total_tokens,estimated_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,elapsed_seconds,retrieval_elapsed_seconds,answer_elapsed_seconds,attempts,error
1,How many days of Casual Leave can an employee avail in an academic year?,Normal-RAG,no_usage_record,0,0,0,0,0,0.0,0.0,0.0,9.858716800001275,,,1,
1,How many days of Casual Leave can an employee avail in an academic year?,Learned-Self-Correcting-RAG,success,1,370,82,664,1116,0.00027749999999999997,0.0027975,0.003075,9.206952199994703,0.17219309999927646,9.034759099995426,1,
2,What are the eligibility conditions for Medical Leave at VIT?,Normal-RAG,success,1,236,82,1071,1389,0.000177,0.0043237499999999995,0.0045007499999999995,11.848570900001505,,,1,
2,What are the eligibility conditions for Medical Leave at VIT?,Learned-Self-Correcting-RAG,no_usage_record,0,0,0,0,0,0.0,0.0,0.0,2.8303795000028913,0.18922010000096634,2.641159400001925,2,
3,What are the eligibility requirements for Maternity Leave?,Normal-RAG,no_usage_record,0,0,0,0,0,0.0,0.0,0.0,2.9234959999957937,,,1,
3,What are the eligibility requirements for Maternity Leave?,Learned-Self-Correcting-RAG,no_usage_record,0,0,0,0,0,0.0,0.0,0.0,3.332270199993218,0.24157829999603564,3.090691899997182,2,
4,What are the requirements for Leave on Duty?,Normal-RAG,no_usage_record,0,0,0,0,0,0.0,0.0,0.0,3.8015440000017406,,,1,
4,What are the requirements for Leave on Duty?,Learned-Self-Correcting-RAG,no_usage_record,0,0,0,0,0,0.0,0.0,0.0,3.423888299999817,0.2752665000007255,3.1486217999990913,2,
5,What are the requirements for obtaining a Service Certificate?,Normal-RAG,no_usage_record,0,0,0,0,0,0.0,0.0,0.0,3.1058752999961143,,,1,
5,What are the requirements for obtaining a Service Certificate?,Learned-Self-Correcting-RAG,no_usage_record,0,0,0,0,0,0.0,0.0,0.0,2.5261707000026945,0.2441770000004908,2.2819937000022037,2,
